ticker;type;quantity;price;currency;transaction_date
CASH;deposit;10000;1;EUR;30/07/2024
AI.PA;buy;2;186.24;EUR;31/07/2024
ESE.PA;buy;46;24.474;EUR;31/07/2024
PANX.PA;buy;14;73.42;EUR;31/07/2024
EUEA.AS;buy;8;184.9;EUR;23/08/2024
WPEA.PA;buy;1165;5.101;EUR;27/08/2024
CASH;deposit;107.76;1;EUR;25/09/2024
ESE.PA;buy;62;25.748;EUR;03/10/2024
CASH;deposit;1503.34;1;EUR;03/10/2024
EUEA.AS;sell;8;184.715;EUR;14/10/2024
PANX.PA;buy;20;74.508;EUR;14/10/2024
CASH;deposit;2;1;EUR;14/10/2024
AI.PA;sell;2;186.24;EUR;16/10/2024
PANX.PA;sell;34;74.07;EUR;16/10/2024
PANX.PA;buy;44;56.095;EUR;16/10/2024
PANX.PA;sell;44;55.83;EUR;16/10/2024
AI.PA;buy;2;186.24;EUR;16/10/2024
PANX.PA;buy;27;74.85;EUR;17/10/2024
AI.PA;sell;2;172.8;EUR;17/10/2024
WPEA.PA;buy;151;5.489;EUR;17/10/2024
PE500.PA;buy;11;46.79;EUR;25/10/2024
CASH;deposit;500.62;1;EUR;25/10/2024
CASH;deposit;10;1;EUR;25/10/2024
PE500.PA;sell;11;46.68;EUR;30/10/2024
ESE.PA;buy;19;26.985;EUR;30/10/2024
CASH;deposit;5;1;EUR;30/10/2024
CASH;deposit;83;1;EUR;21/11/2024
WPEA.PA;buy;102;5.734;EUR;26/11/2024
CASH;deposit;500;1;EUR;26/11/2024
WPEA.PA;buy;52;5.833;EUR;09/12/2024
ESE.PA;buy;35;28.36;EUR;19/12/2024
CASH;deposit;1000;1;EUR;19/12/2024
PANX.PA;buy;6;81.4;EUR;28/01/2025
CASH;deposit;500;1;EUR;28/01/2025
WPEA.PA;buy;6;5.839;EUR;26/02/2025
PANX.PA;buy;6;80.94;EUR;26/02/2025
CASH;deposit;500;1;EUR;26/02/2025
WPEA.PA;buy;88;5.556;EUR;26/03/2025
WPEA.PA;sell;1564;5.537;EUR;26/03/2025
CW8.PA;buy;3238;4.911;EUR;26/03/2025
ESE.PA;sell;162;26.779;EUR;26/03/2025
PANX.PA;sell;39;74.78;EUR;26/03/2025
CASH;deposit;489.93;1;EUR;26/03/2025
CW8.PA;sell;10;5.128;EUR;31/07/2025
ASML.AS;buy;6;636;EUR;31/07/2025
CW8.PA;sell;1180;5.133;EUR;31/07/2025
RMS;buy;1;2260;EUR;31/07/2025
RACE.MIL;buy;8;384;EUR;05/08/2025
CASH;deposit;40.85;1;EUR;05/08/2025
CW8.PA;sell;600;5.045;EUR;05/08/2025
CW8.PA;sell;516;5.085;EUR;14/08/2025
CW8.PA;sell;10;5.087;EUR;14/08/2025
ADYEN.AS;buy;2;1331.2;EUR;14/08/2025
CW8.PA;buy;100;5.096;EUR;26/08/2025
CASH;deposit;499.98;1;EUR;26/08/2025
RACE.MIL;buy;2;341.25;EUR;30/10/2025
CASH;deposit;700;1;EUR;30/10/2025
GTT.PA;buy;12;166.3;EUR;09/12/2025
ASML.AS;sell;1;952.6;EUR;09/12/2025
CW8.PA;sell;200;5.411;EUR;09/12/2025
CASH;deposit;30;1;EUR;10/12/2025
RMS;sell;1;2123;EUR;17/12/2025
ADYEN.AS;buy;1;1329.8;EUR;17/12/2025
GTT.PA;buy;5;154.6;EUR;17/12/2025
CASH;deposit;5;1;EUR;20/01/2026
NBIS;buy;35;96.81;USD;27/01/2026
CW8.PA;sell;822;5.457;EUR;27/01/2026
RACE.MIL;buy;6;281.595;EUR;27/01/2026
ASML.AS;sell;1;1177.6;EUR;04/02/2026
ADYEN.AS;buy;1;1165;EUR;04/02/2026
